id,name,latitude,longitude,population
1,Shanghai,31.22222,121.45806,22315474
2,Beijing,39.9075,116.39723,18960744
3,Shenzhen,22.54554,114.0683,17494398
4,Guangzhou,23.11667,113.25,16096724
5,Lagos,6.45407,3.39467,15388000
6,Istanbul,41.01384,28.94966,14804116
7,Chengdu,30.66667,104.06667,13568357
8,Buenos Aires,-34.61315,-58.37723,13076300
9,Mumbai,19.07283,72.88261,12691836
10,Mexico City,19.42847,-99.12766,12294193
11,Karachi,24.8608,67.0104,11624219
12,Tianjin,39.14222,117.17667,11090314
13,Delhi,28.65195,77.23149,10927986
14,Wuhan,30.58333,114.26667,10392693
15,Moscow,55.75222,37.61556,10381222
16,Dhaka,23.7104,90.40744,10356500
17,Seoul,37.566,126.9784,10349312
18,São Paulo,-23.5475,-46.63611,10021295
19,Dongguan,23.01797,113.74866,9644871
20,Cairo,30.06263,31.24967,9606916
21,Xi’an,34.25833,108.92861,9600000
22,Nanjing,32.06167,118.77778,9314685
23,Hangzhou,30.29365,120.16142,9236032
24,Foshan,23.02677,113.13148,9042509
25,Ho Chi Minh City,10.82302,106.62965,8993082
26,London,51.50853,-0.12574,8961989
27,New York City,40.71427,-74.00597,8804190
28,Jakarta,-6.21462,106.84513,8540121
29,Bengaluru,12.97194,77.59369,8443675
30,Tokyo,35.6895,139.69171,8336599
31,Hanoi,21.0245,105.84117,8053663
32,Taipei,25.04776,121.53185,7871900
33,Kinshasa,-4.32758,15.31357,7785965
34,Lima,-12.04318,-77.02824,7737002
35,Bogotá,4.60971,-74.08175,7674366
36,Hong Kong,22.27832,114.17469,7482500
37,Chongqing,29.56026,106.55771,7457599
38,Baghdad,33.34058,44.40088,7216000
39,Qingdao,36.06488,120.38042,7172451
40,Tehran,35.69439,51.42151,7153309
41,Shenyang,41.79222,123.43278,7050000
42,Hyderābād,17.38405,78.45636,6809970
43,Suzhou,31.30408,120.59538,6715559
44,Ahmedabad,23.02579,72.58727,6357693
45,Lahore,31.558,74.35071,6310888
46,Rio de Janeiro,-22.90642,-43.18223,6023699
47,Singapore,1.28967,103.85007,5638700
48,Johannesburg,-26.20227,28.04363,5635127
49,Saint Petersburg,59.93863,30.31413,5351935
50,Alexandria,31.20176,29.91582,5263542
